claim_id;ticker;claim_type;numeric_value;unit;source_excerpt;document_id;source_page;human_valid;human_type_correct;human_value_correct;human_ticker_correct;review_notes
CLAIM_b0565a3c852b;;CAPITAL_INCREASE;1000000000.0000;BRL;"aumento do capital social da Companhia, por unanimidade, no 
valor de R$1.000.000.000,00";IPE_4669_004669IPE231220250193182185-53_v1;1;;;;;
CLAIM_c261ff5b3395;;DEBT_ISSUANCE;10000000.0000;BRL;"emissão de debêntures conversíveis em ações, 
especificando o limite do aumento de capital decorrente da conversão das 
debêntures, em valor do capital social ou em número de ações, podendo, 
ainda, excluir o direito de preferência nas emissões de ações, bônus de 
subscrição e debêntures conversívei";IPE_26050_026050IPE291220250186327325-65_v1;1;;;;;
CLAIM_c692526626e1;;DEBT_ISSUANCE;1000000000.0000;BRL;"emissão de 
debêntures simples, não conversíveis em ações, em série única, da espécie com 
garantia real, no montante total de R$1.000.000.000,00";IPE_22810_022810IPE231220260146146141-16_v1;1;;;;;
CLAIM_c75c95bf2add;;CAPITAL_INCREASE;109006556.9300;BRL;"aumento do Capital Social da Companhia, 
que passará a ser no valor de R$ 109.006.556,93";IPE_26166_026166IPE191220250178210458-40_v1;1;;;;;
CLAIM_d14ba00dfa72;;CAPITAL_INCREASE;200000000.0000;BRL;"aumento do capital social da Companhia, mediante a capitalização de parte do saldo 

 
 
contábil de reservas de lucros, no valor de R$ 200.000.000,00";IPE_26050_026050IPE291220250186327325-65_v1;1;;;;;
CLAIM_d512a3df900a;;CAPITAL_INCREASE;7483888613.2200;BRL;"aumento do capital social da Companhia, se m emissão de novas ações, no montante de 
R$7.483.888.613,22";IPE_23531_023531IPE291220250117150004-59_v1;1;;;;;
CLAIM_d5ea2d551dcf;;DEBT_ISSUANCE;10000000.0000;BRL;"emissão de debêntures conversíveis em ações, 
especificando o limite do aumento de capital decorrente da conversão das 
debêntures, em valor do capital social ou em número de ações, podendo, 
ainda, excluir o direito de preferência nas emissões de ações, bônus de 
subscrição e debêntures conversívei";IPE_26050_026050IPE291220250197988308-34_v1;1;;;;;
CLAIM_e3078e36b4e7;;DEBT_ISSUANCE;45000000.0000;BRL;"emissão de debêntures, 
objeto de oferta pública atualmente em curso , com aporte mínimo previsto de 
R$ 45.000.000,00";IPE_25160_025160IPE261220260160769379-20_v1;1;;;;;
CLAIM_eabc8b66546d;;DEBT_ISSUANCE;50000000.0000;BRL;"emissão de debêntures conversíveis em ações, dentro do limite do capital 
autorizado, debêntures não conversíveis em ações, notas promissórias (“commercial papers”), 
e/ou outros títulos de crédito s ou instrumentos semelhantes destinados à distribuição em 
mercados de capitais; 
 
XVII - escolher e";IPE_23000_023000IPE311220250161325739-92_v1;1;;;;;
CLAIM_f5d43c2189f5;;DIVIDEND;0.3571;BRL_PER_SHARE;R$ 0,35711 por ação;IPE_509280_509280IPE191220250174440379-44_v1;1;;;;;
CLAIM_fad180b302ca;;CAPITAL_INCREASE;310553.7500;BRL;"aumento do capital social da Companhia aprovou, por unanimidade, no valor de R$ 
310.553,75";IPE_4669_004669IPE221220250197801644-87_v1;1;;;;;
CLAIM_fd175c653f78;;DEBT_ISSUANCE;50000000.0000;BRL;"emissão de debêntures simples, não conversíveis em ações, 
notas promissórias, commercial papers, bonds, notes ou outros títulos de 
dívida de uso comum no mercado de capitais, para distribuição pública ou 
privada, no Brasil ou no exterior; 
 
(xvi) aprovação da celebração, alteração ou rescisão de";IPE_26050_026050IPE291220250243737128-03_v2;1;;;;;
CLAIM_pgmn3_cap_increase;PGMN3;CAPITAL_INCREASE;5.5100;BRL_PER_SHARE;aumento de capital social... preço de emissão de R$ 5,51 por ação;IPE_22608_022608IPE161220250218381034-69_v2;1;;;;;
CLAIM_pgmn3_cap_increase_2;PGMN3;CAPITAL_INCREASE;5.5100;BRL_PER_SHARE;aumento de capital social... preço de emissão de R$ 5,51 por ação;IPE_22608_022608IPE231220250177773849-98_v1;1;;;;;
